Date,Positive Case Count,DOW,New Cases,Cases Last 14 Days,Population,"Cases Per 100,000","Cases Last 14 Days Per 100,000",Location,County,Total Deaths,LTCF Deaths,Non-LTCF Deaths
2020-05-12,42,1,0.0,8.0,78338,54.0,10.0,Alameda,Alameda,,,
2020-05-13,43,2,1.0,8.0,78338,55.0,10.0,Alameda,Alameda,,,
2020-05-14,45,3,2.0,10.0,78338,57.0,13.0,Alameda,Alameda,,,
2020-05-15,45,4,0.0,10.0,78338,57.0,13.0,Alameda,Alameda,,,
2020-05-16,45,5,0.0,9.0,78338,57.0,11.0,Alameda,Alameda,,,
2020-05-17,45,6,0.0,9.0,78338,57.0,11.0,Alameda,Alameda,,,
2020-05-18,45,0,0.0,9.0,78338,57.0,11.0,Alameda,Alameda,,,
2020-05-19,45,1,0.0,9.0,78338,57.0,11.0,Alameda,Alameda,,,
2020-05-20,45,2,0.0,9.0,78338,57.0,11.0,Alameda,Alameda,,,
2020-05-21,46,3,1.0,8.0,78338,59.0,10.0,Alameda,Alameda,,,
2020-05-22,46,4,0.0,8.0,78338,59.0,10.0,Alameda,Alameda,,,
2020-05-23,47,5,1.0,8.0,78338,60.0,10.0,Alameda,Alameda,,,
2020-05-24,47,6,0.0,6.0,78338,60.0,8.0,Alameda,Alameda,,,
2020-05-25,47,0,0.0,5.0,78338,60.0,6.0,Alameda,Alameda,,,
2020-05-26,49,1,2.0,7.0,78338,63.0,9.0,Alameda,Alameda,,,
2020-05-27,49,2,0.0,6.0,78338,63.0,8.0,Alameda,Alameda,,,
2020-05-28,51,3,2.0,6.0,78338,65.0,8.0,Alameda,Alameda,,,
2020-05-29,52,4,1.0,7.0,78338,66.0,9.0,Alameda,Alameda,,,
2020-05-30,52,5,0.0,7.0,78338,66.0,9.0,Alameda,Alameda,,,
2020-05-31,52,6,0.0,7.0,78338,66.0,9.0,Alameda,Alameda,,,
2020-06-01,52,0,0.0,7.0,78338,66.0,9.0,Alameda,Alameda,,,
2020-06-02,52,1,0.0,7.0,78338,66.0,9.0,Alameda,Alameda,,,
2020-06-03,52,2,0.0,7.0,78338,66.0,9.0,Alameda,Alameda,,,
2020-06-04,53,3,1.0,7.0,78338,68.0,9.0,Alameda,Alameda,,,
2020-06-05,53,4,0.0,7.0,78338,68.0,9.0,Alameda,Alameda,,,
2020-06-06,53,5,0.0,6.0,78338,68.0,8.0,Alameda,Alameda,,,
2020-06-07,55,6,2.0,8.0,78338,70.0,10.0,Alameda,Alameda,,,
2020-06-08,57,0,2.0,10.0,78338,73.0,13.0,Alameda,Alameda,,,
2020-06-09,57,1,0.0,8.0,78338,73.0,10.0,Alameda,Alameda,,,
2020-06-10,60,2,3.0,11.0,78338,77.0,14.0,Alameda,Alameda,,,
